Model,Training Loss,Training Accuracy,Test Loss,Test Accuracy
<class 'optimiser.AdamOptimiser'>,1.703684428960665,0.68306,1.8603485591337088,0.5488
<class 'optimiser.GradientDescentOptimiser'>,1.644991172295821,0.74358,1.8436000214152675,0.5545
