Model,Training Loss,Training Accuracy,Test Loss,Test Accuracy
10,1.7714768297072996,0.62432,1.986341757949818,0.4356
20,1.7299559416004768,0.66294,1.8649255981235033,0.5444
40,1.7152614499202365,0.6765,1.8663949415878966,0.5446
60,1.7087954375601022,0.68158,1.8658598718617265,0.5422
