Model,Training Loss,Training Accuracy,Test Loss,Test Accuracy
0.01,1.9456377811752796,0.47328,1.94713392247253,0.4738
0.001,1.7268342635796023,0.6622,1.8467022557327017,0.5557
0.0001,1.6803141537884987,0.7091,1.8887588344246742,0.5432
1e-05,1.6651926168781443,0.72324,1.91026815585418,0.5338
