Model,Training Loss,Training Accuracy,Test Loss,Test Accuracy
0.1,4.767153709718308,0.20252,2.3502462981756542,0.2542
0.01,1.9747626147687625,0.44546,1.9760747629199509,0.4499
0.001,1.7289821562419951,0.66108,1.8566975618142991,0.5425
0.0001,1.6691302013550287,0.72202,1.8472411560497461,0.5506
