Model,Training Loss,Training Accuracy,Test Loss,Test Accuracy
1,1.8024470847715202,0.59618,1.8738786550708342,0.5321
4,1.7292174084528462,0.66228,1.8592343391049093,0.5459
8,1.7036073745886617,0.68522,1.8582315414830308,0.5479
32,1.6720236660040546,0.7160108765195138,1.8535400965989852,0.5532
64,1.6609623082556864,0.727181905370844,1.8529662559596844,0.5555
128,1.6525762544336586,0.7355179028132992,1.8527313443294209,0.5557
