Model,Training Loss,Training Accuracy,Test Loss,Test Accuracy,Training time (seconds),Inference time (seconds)
0.1,2.1070952552459836,0.3226767434420985,2.1241654090814337,0.3247,49.21153235435486,0.012321233749389648
0.01,1.896897482638387,0.5073576455534229,1.894166772475384,0.5117,50.4800181388855,0.014555692672729492
0.001,1.7277665127206503,0.6685460652591171,1.8627484538425494,0.5374,52.46022987365723,0.016827106475830078
0.0001,1.8213102482814725,0.5870921305182342,1.8905363493429155,0.5134,52.6147665977478,0.017073631286621094
