Model,Training Loss,Training Accuracy,Test Loss,Test Accuracy,Training time (seconds),Inference time (seconds)
<function min_max_scale at 0x702fe0bd6020>,1.7283265232638616,0.6676263595649392,1.8605924846748174,0.5415,52.33504009246826,0.01714920997619629
<function standard_scale at 0x702fe0bd60c0>,1.7271382243061275,0.66784628918746,1.8620773044920818,0.5417,52.56388711929321,0.017277002334594727
