Model,Training Loss,Training Accuracy,Test Loss,Test Accuracy,Training time (seconds),Inference time (seconds)
1,2.30287088997219,0.09634,2.3029083361643212,0.1,1346.466891527176,0.019940614700317383
4,1.903428326530908,0.51384,1.9338052186132948,0.48,300.3598427772522,0.018748044967651367
8,1.8015151946948935,0.6004,1.8947726868671597,0.5208,159.35086059570312,0.01781320571899414
32,1.7277657389875194,0.667266474728087,1.8598520553846207,0.5455,52.39142990112305,0.018115758895874023
64,1.7129309320013248,0.6787683823529411,1.858347799847219,0.5539,34.17288541793823,0.02381110191345215
128,1.709028046169085,0.6860613810741688,1.8589524076031811,0.5422,31.300600290298462,0.02041482925415039
