Model,Training Loss,Training Accuracy,Test Loss,Test Accuracy,Training time (seconds),Inference time (seconds)
0.01,1.9811121123877062,0.4446777031349968,1.9698733630270622,0.4558,51.93367958068848,0.021188735961914062
0.001,1.7274344065052851,0.6686260396673065,1.862857856635826,0.5438,52.424870014190674,0.019962787628173828
0.0001,1.7006180242280626,0.6937579974408189,1.9184650182584002,0.5176,53.08601641654968,0.024451017379760742
1e-05,1.6952054803836842,0.6992762316058861,1.925359049713473,0.5171,53.439422607421875,0.020865917205810547
