Model,Training Loss,Training Accuracy,Test Loss,Test Accuracy,Training time (seconds),Inference time (seconds)
10,1.8483876894565592,0.5609005118362124,1.893468051983724,0.5136,5.2085771560668945,0.026591777801513672
20,1.7850730172300224,0.6152231285988484,1.8691308042631953,0.539,10.363794565200806,0.023767948150634766
50,1.7390763701299121,0.6571896992962252,1.865986990385158,0.5395,25.851853370666504,0.024913311004638672
100,1.7284147482630339,0.6667066538707613,1.8631237860249348,0.5431,52.196964263916016,0.020468473434448242
